t_ms,V_mV,n,h,alpha,volL_L,PAO2_mmHg,PaO2_mmHg,gtonic_nS,SaO2_pct
6.89712733e+01,-6.05369300e+01,3.76511064e-04,7.46798993e-01,1.87200121e-04,2.04908801e+00,9.87921795e+01,9.74832095e+01,8.56587709e-02,9.64564380e+01
7.08755019e+01,-6.05375945e+01,3.76442195e-04,7.46842506e-01,1.86851024e-04,2.04899700e+00,9.87871883e+01,9.74750693e+01,8.56906003e-02,9.64557243e+01
7.31969818e+01,-6.05380093e+01,3.76396703e-04,7.46895541e-01,1.86426330e-04,2.04888627e+00,9.87810874e+01,9.74651713e+01,8.57293155e-02,9.64548563e+01
7.55184616e+01,-6.05380633e+01,3.76386320e-04,7.46948558e-01,1.86002621e-04,2.04877579e+00,9.87749689e+01,9.74553014e+01,8.57679345e-02,9.64539905e+01
7.78399415e+01,-6.05378213e+01,3.76404735e-04,7.47001555e-01,1.85579895e-04,2.04866555e+00,9.87688331e+01,9.74454592e+01,8.58064585e-02,9.64531268e+01
8.01614214e+01,-6.05373365e+01,3.76446770e-04,7.47054529e-01,1.85158150e-04,2.04855556e+00,9.87626802e+01,9.74356445e+01,8.58448885e-02,9.64522652e+01
8.29806245e+01,-6.05364839e+01,3.76523511e-04,7.47118827e-01,1.84647299e-04,2.04842232e+00,9.87551855e+01,9.74237618e+01,8.58914335e-02,9.64512217e+01
8.57998277e+01,-6.05354006e+01,3.76622723e-04,7.47183084e-01,1.84137888e-04,2.04828945e+00,9.87476661e+01,9.74119186e+01,8.59378437e-02,9.64501813e+01
8.86190309e+01,-6.05341365e+01,3.76739574e-04,7.47247298e-01,1.83629914e-04,2.04815693e+00,9.87401226e+01,9.74001142e+01,8.59841212e-02,9.64491438e+01
9.14382340e+01,-6.05327309e+01,3.76870259e-04,7.47311469e-01,1.83123372e-04,2.04802478e+00,9.87325552e+01,9.73883481e+01,8.60302681e-02,9.64481093e+01
9.50097445e+01,-6.05307945e+01,3.77051064e-04,7.47392697e-01,1.82483711e-04,2.04785787e+00,9.87229348e+01,9.73734963e+01,8.60885446e-02,9.64468029e+01
9.85812549e+01,-6.05287281e+01,3.77244646e-04,7.47473850e-01,1.81846336e-04,2.04769154e+00,9.87132773e+01,9.73587040e+01,8.61466184e-02,9.64455011e+01
